Time,temp,wetbulb,relative_humidity,barometric_pressure,wind_speed,wind_dir,precip,stationid
2013-01-01 00:00:00,37.04,21.92,53.97,29.94,10,230,0.00,EWR
2013-01-01 01:00:00,37.04,21.92,53.97,29.91,14,230,0.00,EWR
2013-01-01 02:00:00,37.94,21.92,52.09,29.90,13,230,0.00,EWR
2013-01-01 03:00:00,37.94,23.00,54.51,29.91,14,230,0.00,EWR
2013-01-01 04:00:00,37.94,24.08,57.04,29.91,15,240,0.00,EWR
2013-01-01 06:00:00,39.02,26.06,59.37,29.88,10,270,0.00,EWR
2013-01-01 07:00:00,39.02,26.96,61.63,29.89,8,250,0.00,EWR
2013-01-01 08:00:00,39.02,28.04,64.43,29.90,11,240,0.00,EWR
2013-01-01 09:00:00,39.92,28.04,62.21,29.89,13,250,0.00,EWR
2013-01-01 10:00:00,39.02,28.04,64.43,29.88,13,260,0.00,EWR
2013-01-01 11:00:00,37.94,28.04,67.21,29.90,11,240,0.00,EWR
2013-01-01 12:00:00,39.02,28.04,64.43,29.89,15,240,0.00,EWR
2013-01-01 13:00:00,39.92,28.04,62.21,29.89,10,250,0.00,EWR
2013-01-01 14:00:00,39.92,28.04,62.21,29.91,15,260,0.00,EWR
2013-01-01 15:00:00,41.00,28.04,59.65,29.90,14,260,0.00,EWR
2013-01-01 16:00:00,41.00,26.96,57.06,29.87,15,260,0.00,EWR
2013-01-01 17:00:00,39.92,28.04,62.21,29.86,16,270,0.00,EWR
2013-01-01 18:00:00,39.20,28.40,64.93,0.00,15,330,0.00,EWR
2013-01-01 19:00:00,39.02,24.08,54.68,29.85,14,280,0.00,EWR
2013-01-01 20:00:00,37.94,24.08,57.04,29.88,9,290,0.00,EWR
2013-01-01 21:00:00,37.04,19.94,49.62,29.89,14,300,0.00,EWR
2013-01-01 22:00:00,35.96,19.04,49.83,29.92,11,330,0.00,EWR
2013-01-01 23:00:00,33.98,15.08,45.43,29.95,13,310,0.00,EWR
2013-01-02 00:00:00,33.08,12.92,42.84,29.96,10,320,0.00,EWR
2013-01-02 01:00:00,32.00,15.08,49.19,29.98,15,310,0.00,EWR
2013-01-02 02:00:00,30.02,12.92,48.48,30.00,18,320,0.00,EWR
2013-01-02 03:00:00,28.94,12.02,48.69,30.02,18,320,0.00,EWR
2013-01-02 04:00:00,28.04,10.94,48.15,30.01,16,310,0.00,EWR
2013-01-02 05:00:00,26.96,10.94,50.34,30.01,15,310,0.00,EWR
2013-01-02 06:00:00,26.06,10.94,52.25,30.01,13,330,0.00,EWR
2013-01-02 07:00:00,24.98,10.94,54.65,30.03,14,330,0.00,EWR
2013-01-02 08:00:00,24.08,8.96,51.93,30.02,15,320,0.00,EWR
2013-01-02 09:00:00,24.08,8.96,51.93,30.03,13,330,0.00,EWR
2013-01-02 10:00:00,24.08,8.96,51.93,30.03,7,330,0.00,EWR
2013-01-02 11:00:00,24.08,8.96,51.93,30.04,3,310,0.00,EWR
2013-01-02 12:00:00,24.98,10.04,52.50,30.05,7,300,0.00,EWR
2013-01-02 13:00:00,24.98,10.04,52.50,30.08,9,280,0.00,EWR
2013-01-02 14:00:00,26.96,10.04,48.36,30.09,11,290,0.00,EWR
2013-01-02 15:00:00,28.94,10.94,46.41,30.08,9,280,0.00,EWR
2013-01-02 16:00:00,30.92,12.02,44.92,30.05,15,300,0.00,EWR
2013-01-02 17:00:00,32.00,12.92,44.74,30.04,13,290,0.00,EWR
2013-01-02 18:00:00,33.98,12.92,41.33,30.04,16,290,0.00,EWR
2013-01-02 19:00:00,33.98,10.94,37.86,30.06,17,310,0.00,EWR
